Part;Value;Device;Package;Description;MFG;MPN;OC_LOMEX;OC_KONTEL
C1;470uF/35V;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;;;;
C2;100u;CPOL-EUE2.5-7;E2,5-7;POLARIZED CAPACITOR, European symbol;;;;
C3;100u;CPOL-EUE2.5-7;E2,5-7;POLARIZED CAPACITOR, European symbol;;;;
C4;100u;CPOL-EUE2.5-7;E2,5-7;POLARIZED CAPACITOR, European symbol;;;;
C5;4.7uF/35V;CPOL-EUE1.8-4;E1,8-4;POLARIZED CAPACITOR, European symbol;;;12-21-31;
C6;100u;CPOL-EUE2.5-7;E2,5-7;POLARIZED CAPACITOR, European symbol;;;;
C7;100u;CPOL-EUE2.5-7;E2,5-7;POLARIZED CAPACITOR, European symbol;;;;
C8;100u;CPOL-EUE2.5-7;E2,5-7;POLARIZED CAPACITOR, European symbol;;;;
C9;220u;CPOL-EUE2.5-7;E2,5-7;POLARIZED CAPACITOR, European symbol;;;;
C10;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C11;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C12;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C13;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C14;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C15;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C16;1u;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C17;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C18;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C19;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C20;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C21;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C22;30pF;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C23;30pF;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C24;47pF;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C25;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C26;56pF;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;440092
C27;18pF;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;440066
C28;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C29;10pF;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C30;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C31;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C32;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C33;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C34;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
C35;100n;C-EUC1206K;C1206K;CAPACITOR, European symbol;;;;
CON1;DCS-5521-5;JACK-PLUG0;SPC4077;DC POWER JACK female 5.5/2.1;;;43-07-67;
CON2;D-SUB 9 pin female 90° 7,2MM;DB-9RS-CDB-9RS-C;182-009-FEMALE;DSUB-09 FEMALE Connector;;;43-00-45;420046
CON3;MD4-02;MINI_DIN_4P;MINI_DIN_4P;MINI DIN 4 pol. SVIDEO connector;;;43-08-74;138423
CON4;RCA yellow;RCAS-32Y;RCA;RCA Chinch connector 90°;;;43-10-13;
CON5;RCA red;RCAS-32R01;RCA;RCA Chinch connector 90°;;;43-21-66;
CON6;JST-XH-02;JST-XH-02-PIN-LONG-PAD;JST-XH-02-PACKAGE-LONG-PAD;JST XH Connector 2 Pin;;;;
D1;1N5819;DIODE-DO41-7.6;DO41-7.6;1A 40V SCHOTTKY Urrm(V)=30V If=1A Ifsm=25A (DO-41);;;16-04-12;160291
D2;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D3;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D4;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D5;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D6;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D7;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D8;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D9;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D10;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
D11;1N4148W;DIODE-SOD323-W;SOD323-W;DIODE;;;;
DSP1;LCD display HD44780 compatible;LCD-HEADER-16;FE16-LCD;FEMALE HEADER for 16x2 LCD in 4 bit mode, connector on upper left side;;;;
DSP2;TIL3XX;TIL302TIL302;TIL302;7 segment common anode LED displays: TIL302 (TI, red), TIL314 (TI, green), LQ410 (Tesla), SA03-11 (Kingbright), MAN50A serie (Monsanto), HP5082 serie (HP/Agilent) or TIL311 (TI, red);;;;
HS1;Heatshink for IC1;TO220-HS;TO220-HS;HEATSHINK TO-220 15.5x 21x10.5mm M3, PIN D=1.4mm;;;22-00-89/22-00-91;
IC1;L7806CV;788TV;TO220V;Positive VOLTAGE REGULATOR;;;32-02-26;
IC2;ATTiny2313P;ATTiny2313P;DIL20;AVR MICROCONTROLLER;;;;
